id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
kos,Kosraean,2,Words derived from Min Nan Chinese te,NA,5.3,163,Oceanic,Austronesian,Lee 1976,http://wals.info/valuesets/138A-kos,http://wals.info/languoid/lect/wals_code_kos,http://wals.info/refdb/record/Lee-1976
krk,Karok,3,Others,443,41.6666666667,-123,Karok,Karok,Bright 1957,http://wals.info/valuesets/138A-krk,http://wals.info/languoid/lect/wals_code_krk,http://wals.info/refdb/record/Bright-1957[443]
krm,Karaim,1,Words derived from Sinitic cha,NA,54.6666666667,24.9166666667,Turkic,Altaic,Kowalski 1929,http://wals.info/valuesets/138A-krm,http://wals.info/languoid/lect/wals_code_krm,http://wals.info/refdb/record/Kowalski-1929
kro,Krongo,1,Words derived from Sinitic cha,NA,10.5,30,Kadugli,Kadu,Reh 1985,http://wals.info/valuesets/138A-kro,http://wals.info/languoid/lect/wals_code_kro,http://wals.info/refdb/record/Reh-1985
kry,Koryak,1,Words derived from Sinitic cha,NA,61,167,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,Zukova 1967,http://wals.info/valuesets/138A-kry,http://wals.info/languoid/lect/wals_code_kry,http://wals.info/refdb/record/Zukova-1967
kse,Koyraboro Senni,3,Others,1485,16,0,Songhay,Songhay,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kse,http://wals.info/languoid/lect/wals_code_kse,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1485]
ksg,Karen (Sgaw),3,Others,1029,18,97,Karen,Sino-Tibetan,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-ksg,http://wals.info/languoid/lect/wals_code_ksg,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1029]
kuq,Kumyk,1,Words derived from Sinitic cha,NA,43,47.3333333333,Turkic,Altaic,Bammatov 1960,http://wals.info/valuesets/138A-kuq,http://wals.info/languoid/lect/wals_code_kuq,http://wals.info/refdb/record/Bammatov-1960
lad,Ladakhi,3,Others,1099,34,78,Bodic,Sino-Tibetan,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-lad,http://wals.info/languoid/lect/wals_code_lad,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1099]
lao,Lao,3,Others,1105,18,103,Kam-Tai,Tai-Kadai,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-lao,http://wals.info/languoid/lect/wals_code_lao,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1105]
lat,Latvian,2,Words derived from Min Nan Chinese te,1132,57,24,Baltic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-lat,http://wals.info/languoid/lect/wals_code_lat,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1132]
lcr,Lesser Antillean French Creole,1,Words derived from Sinitic cha,NA,15,-61.1666666667,Creoles and Pidgins,other,NA,http://wals.info/valuesets/138A-lcr,http://wals.info/languoid/lect/wals_code_lcr,NA
lda,Luganda,1,Words derived from Sinitic cha,1155,0.5,32.1666666667,Bantoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-lda,http://wals.info/languoid/lect/wals_code_lda,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1155]
lin,Lingala,2,Words derived from Min Nan Chinese te,1140,2,18.5,Bantoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-lin,http://wals.info/languoid/lect/wals_code_lin,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1140]
lis,Lisu,3,Others,NA,26,98,Burmese-Lolo,Sino-Tibetan,Bradley 1994,http://wals.info/valuesets/138A-lis,http://wals.info/languoid/lect/wals_code_lis,http://wals.info/refdb/record/Bradley-1994
lit,Lithuanian,3,Others,1147,55,24,Baltic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-lit,http://wals.info/languoid/lect/wals_code_lit,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1147]
lmp,Lampung,2,Words derived from Min Nan Chinese te,283,-5,105,Lampungic,Austronesian,Junaiyah 1985,http://wals.info/valuesets/138A-lmp,http://wals.info/languoid/lect/wals_code_lmp,http://wals.info/refdb/record/Junaiyah-1985[283]
lon,Loniu,3,Others,NA,-2.06666666667,147.333333333,Oceanic,Austronesian,Hamel 1994,http://wals.info/valuesets/138A-lon,http://wals.info/languoid/lect/wals_code_lon,http://wals.info/refdb/record/Hamel-1994
luo,Luo,1,Words derived from Sinitic cha,1161,-0.5,34.75,Nilotic,Eastern Sudanic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-luo,http://wals.info/languoid/lect/wals_code_luo,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1161]
lux,Luxemburgeois,2,Words derived from Min Nan Chinese te,1167,49.8333333333,6.16666666667,Germanic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-lux,http://wals.info/languoid/lect/wals_code_lux,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1167]
mal,Malagasy,2,Words derived from Min Nan Chinese te,1181,-20,47,Barito,Austronesian,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-mal,http://wals.info/languoid/lect/wals_code_mal,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1181]
mao,Maori,2,Words derived from Min Nan Chinese te,NA,-40,176,Oceanic,Austronesian,Biggs 1994,http://wals.info/valuesets/138A-mao,http://wals.info/languoid/lect/wals_code_mao,http://wals.info/refdb/record/Biggs-1994
mby,Mbay,1,Words derived from Sinitic cha,NA,8.25,17.5,Bongo-Bagirmi,Central Sudanic,Keegan 1996,http://wals.info/valuesets/138A-mby,http://wals.info/languoid/lect/wals_code_mby,http://wals.info/refdb/record/Keegan-1996
mdr,Madurese,2,Words derived from Min Nan Chinese te,390,-7,113.5,Malayo-Sumbawan,Austronesian,Sugiarto 1993,http://wals.info/valuesets/138A-mdr,http://wals.info/languoid/lect/wals_code_mdr,http://wals.info/refdb/record/Sugiarto-1993[390]
mhi,Marathi,1,Words derived from Sinitic cha,1204,19,76,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-mhi,http://wals.info/languoid/lect/wals_code_mhi,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1204]
min,Minangkabau,2,Words derived from Min Nan Chinese te,NA,-1,101,Malayo-Sumbawan,Austronesian,NA,http://wals.info/valuesets/138A-min,http://wals.info/languoid/lect/wals_code_min,NA
mks,Makassar,2,Words derived from Min Nan Chinese te,NA,-5.41666666667,119.583333333,South Sulawesi,Austronesian,NA,http://wals.info/valuesets/138A-mks,http://wals.info/languoid/lect/wals_code_mks,NA
mku,Maranungku,3,Others,NA,-13.6666666667,130,Wagaydy,Western Daly,Tryon 1970b,http://wals.info/valuesets/138A-mku,http://wals.info/languoid/lect/wals_code_mku,http://wals.info/refdb/record/Tryon-1970b
